//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3143.30000002328
PositionY = 9653.70000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
 1.64656E+03	 1.48408E+03
 1.64897E+03	 1.48310E+03
 1.65139E+03	 1.48308E+03
 1.65381E+03	 1.48122E+03
 1.65622E+03	 1.48216E+03
 1.65864E+03	 1.48546E+03
 1.66105E+03	 1.48288E+03
 1.66346E+03	 1.48454E+03
 1.66588E+03	 1.48188E+03
 1.66829E+03	 1.48846E+03
 1.67070E+03	 1.48324E+03
 1.67311E+03	 1.48694E+03
 1.67552E+03	 1.48752E+03
 1.67793E+03	 1.48550E+03
 1.68034E+03	 1.48634E+03
 1.68274E+03	 1.48158E+03
 1.68515E+03	 1.48528E+03
 1.68756E+03	 1.48362E+03
 1.68996E+03	 1.48442E+03
 1.69236E+03	 1.48830E+03
 1.69477E+03	 1.48398E+03
 1.69717E+03	 1.48336E+03
 1.69957E+03	 1.48478E+03
 1.70197E+03	 1.48466E+03
 1.70438E+03	 1.47926E+03
 1.70678E+03	 1.48208E+03
 1.70917E+03	 1.48194E+03
 1.71157E+03	 1.48234E+03
 1.71397E+03	 1.47952E+03
 1.71637E+03	 1.48194E+03
 1.71876E+03	 1.48012E+03
 1.72116E+03	 1.47776E+03
 1.72355E+03	 1.47838E+03
 1.72595E+03	 1.47958E+03
 1.72834E+03	 1.47602E+03
 1.73073E+03	 1.47770E+03
 1.73313E+03	 1.47366E+03
 1.73552E+03	 1.47338E+03
 1.73791E+03	 1.47136E+03
 1.74030E+03	 1.47308E+03
 1.74269E+03	 1.47256E+03
 1.74507E+03	 1.47328E+03
 1.74746E+03	 1.46982E+03
 1.74985E+03	 1.47408E+03
 1.75224E+03	 1.47410E+03
 1.75462E+03	 1.47328E+03
 1.75701E+03	 1.47398E+03
 1.75939E+03	 1.47748E+03
 1.76177E+03	 1.47290E+03
 1.76415E+03	 1.47432E+03
 1.76654E+03	 1.47380E+03
 1.76892E+03	 1.47210E+03
 1.77130E+03	 1.47176E+03
 1.77368E+03	 1.47598E+03
 1.77606E+03	 1.47434E+03
 1.77843E+03	 1.47392E+03
 1.78081E+03	 1.47512E+03
 1.78319E+03	 1.47410E+03
 1.78556E+03	 1.47274E+03
 1.78794E+03	 1.47200E+03
