//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3511.70000002328
PositionY = 9787.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
 1.55413E+03	 2.70234E+03
 1.55658E+03	 2.69906E+03
 1.55902E+03	 2.70894E+03
 1.56147E+03	 2.71080E+03
 1.56391E+03	 2.69868E+03
 1.56636E+03	 2.70830E+03
 1.56880E+03	 2.69486E+03
 1.57124E+03	 2.69874E+03
 1.57368E+03	 2.68798E+03
 1.57612E+03	 2.69730E+03
 1.57856E+03	 2.70314E+03
 1.58100E+03	 2.68988E+03
 1.58344E+03	 2.69494E+03
 1.58587E+03	 2.68352E+03
 1.58831E+03	 2.68060E+03
 1.59074E+03	 2.66800E+03
 1.59318E+03	 2.67700E+03
 1.59561E+03	 2.67824E+03
 1.59805E+03	 2.67634E+03
 1.60048E+03	 2.68214E+03
 1.60291E+03	 2.67628E+03
 1.60534E+03	 2.67472E+03
 1.60777E+03	 2.66602E+03
 1.61020E+03	 2.66874E+03
 1.61263E+03	 2.66724E+03
 1.61506E+03	 2.66016E+03
 1.61749E+03	 2.66104E+03
 1.61991E+03	 2.66562E+03
 1.62234E+03	 2.66926E+03
 1.62476E+03	 2.65030E+03
 1.62719E+03	 2.66434E+03
 1.62961E+03	 2.65330E+03
 1.63203E+03	 2.65618E+03
 1.63446E+03	 2.64790E+03
 1.63688E+03	 2.66008E+03
 1.63930E+03	 2.66064E+03
 1.64172E+03	 2.66238E+03
 1.64414E+03	 2.66132E+03
 1.64656E+03	 2.65510E+03
 1.64897E+03	 2.65676E+03
 1.65139E+03	 2.65416E+03
 1.65381E+03	 2.66720E+03
 1.65622E+03	 2.65252E+03
 1.65864E+03	 2.66536E+03
 1.66105E+03	 2.65702E+03
 1.66346E+03	 2.66164E+03
 1.66588E+03	 2.67392E+03
 1.66829E+03	 2.66284E+03
 1.67070E+03	 2.67224E+03
