//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5691.30000002328
PositionY = 10021.5000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
 1.37350E+03	 1.41246E+03
 1.37600E+03	 1.41122E+03
 1.37850E+03	 1.41454E+03
 1.38100E+03	 1.40750E+03
 1.38350E+03	 1.41384E+03
 1.38600E+03	 1.41234E+03
 1.38850E+03	 1.41102E+03
 1.39100E+03	 1.41194E+03
 1.39350E+03	 1.41256E+03
 1.39599E+03	 1.41098E+03
 1.39849E+03	 1.41220E+03
 1.40098E+03	 1.41302E+03
 1.40348E+03	 1.40972E+03
 1.40597E+03	 1.41214E+03
 1.40846E+03	 1.41300E+03
 1.41095E+03	 1.41286E+03
 1.41344E+03	 1.41194E+03
 1.41593E+03	 1.41490E+03
 1.41842E+03	 1.41216E+03
 1.42091E+03	 1.41204E+03
 1.42340E+03	 1.41352E+03
 1.42588E+03	 1.41164E+03
 1.42837E+03	 1.41052E+03
 1.43086E+03	 1.41462E+03
 1.43334E+03	 1.41454E+03
 1.43582E+03	 1.41416E+03
 1.43831E+03	 1.41442E+03
 1.44079E+03	 1.41290E+03
 1.44327E+03	 1.41258E+03
 1.44575E+03	 1.41462E+03
 1.44823E+03	 1.41408E+03
 1.45071E+03	 1.41168E+03
 1.45319E+03	 1.41512E+03
 1.45566E+03	 1.41508E+03
 1.45814E+03	 1.41506E+03
 1.46062E+03	 1.41518E+03
 1.46309E+03	 1.41584E+03
 1.46557E+03	 1.41330E+03
 1.46804E+03	 1.41446E+03
 1.47051E+03	 1.41294E+03
 1.47298E+03	 1.41200E+03
 1.47546E+03	 1.41444E+03
 1.47793E+03	 1.41520E+03
 1.48040E+03	 1.41446E+03
 1.48286E+03	 1.41126E+03
 1.48533E+03	 1.41370E+03
 1.48780E+03	 1.41586E+03
 1.49027E+03	 1.41452E+03
 1.49273E+03	 1.41276E+03
 1.49520E+03	 1.41386E+03
 1.49766E+03	 1.41368E+03
 1.50013E+03	 1.41464E+03
 1.50259E+03	 1.41394E+03
 1.50505E+03	 1.41330E+03
 1.50751E+03	 1.41306E+03
 1.50997E+03	 1.41438E+03
 1.51243E+03	 1.41308E+03
 1.51489E+03	 1.41294E+03
 1.51735E+03	 1.41094E+03
 1.51981E+03	 1.41458E+03
 1.52226E+03	 1.41300E+03
 1.52472E+03	 1.41298E+03
 1.52718E+03	 1.41648E+03
 1.52963E+03	 1.41252E+03
 1.53208E+03	 1.41340E+03
 1.53454E+03	 1.41416E+03
 1.53699E+03	 1.41558E+03
 1.53944E+03	 1.41568E+03
 1.54189E+03	 1.41692E+03
 1.54434E+03	 1.41520E+03
 1.54679E+03	 1.41558E+03
 1.54924E+03	 1.41732E+03
 1.55169E+03	 1.41856E+03
 1.55413E+03	 1.41434E+03
 1.55658E+03	 1.41586E+03
 1.55902E+03	 1.41546E+03
 1.56147E+03	 1.41766E+03
 1.56391E+03	 1.41536E+03
 1.56636E+03	 1.41870E+03
 1.56880E+03	 1.41642E+03
 1.57124E+03	 1.41880E+03
 1.57368E+03	 1.41734E+03
 1.57612E+03	 1.41676E+03
 1.57856E+03	 1.41606E+03
 1.58100E+03	 1.41842E+03
 1.58344E+03	 1.41716E+03
 1.58587E+03	 1.41828E+03
 1.58831E+03	 1.41848E+03
 1.59074E+03	 1.41872E+03
 1.59318E+03	 1.41554E+03
 1.59561E+03	 1.41478E+03
 1.59805E+03	 1.41534E+03
 1.60048E+03	 1.41564E+03
 1.60291E+03	 1.41576E+03
 1.60534E+03	 1.41596E+03
 1.60777E+03	 1.41508E+03
 1.61020E+03	 1.41674E+03
 1.61263E+03	 1.41592E+03
 1.61506E+03	 1.41670E+03
 1.61749E+03	 1.41458E+03
 1.61991E+03	 1.41450E+03
 1.62234E+03	 1.41728E+03
 1.62476E+03	 1.41608E+03
 1.62719E+03	 1.41840E+03
 1.62961E+03	 1.41572E+03
 1.63203E+03	 1.41536E+03
 1.63446E+03	 1.41766E+03
 1.63688E+03	 1.41446E+03
 1.63930E+03	 1.41628E+03
 1.64172E+03	 1.41594E+03
 1.64414E+03	 1.41638E+03
 1.64656E+03	 1.41780E+03
 1.64897E+03	 1.41920E+03
 1.65139E+03	 1.41676E+03
 1.65381E+03	 1.41838E+03
 1.65622E+03	 1.41824E+03
 1.65864E+03	 1.41760E+03
 1.66105E+03	 1.41708E+03
 1.66346E+03	 1.42004E+03
 1.66588E+03	 1.41946E+03
 1.66829E+03	 1.41894E+03
 1.67070E+03	 1.41726E+03
 1.67311E+03	 1.42094E+03
 1.67552E+03	 1.41978E+03
 1.67793E+03	 1.42016E+03
 1.68034E+03	 1.41946E+03
 1.68274E+03	 1.41744E+03
 1.68515E+03	 1.41830E+03
 1.68756E+03	 1.41896E+03
 1.68996E+03	 1.42290E+03
 1.69236E+03	 1.41932E+03
 1.69477E+03	 1.41994E+03
 1.69717E+03	 1.42208E+03
 1.69957E+03	 1.41802E+03
 1.70197E+03	 1.42132E+03
 1.70438E+03	 1.42038E+03
 1.70678E+03	 1.42394E+03
 1.70917E+03	 1.42072E+03
 1.71157E+03	 1.42024E+03
 1.71397E+03	 1.42184E+03
 1.71637E+03	 1.42176E+03
 1.71876E+03	 1.42040E+03
