//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
 1.47793E+03	 1.43234E+03
 1.48040E+03	 1.43494E+03
 1.48286E+03	 1.43574E+03
 1.48533E+03	 1.43158E+03
 1.48780E+03	 1.43432E+03
 1.49027E+03	 1.43370E+03
 1.49273E+03	 1.43182E+03
 1.49520E+03	 1.43298E+03
 1.49766E+03	 1.43246E+03
 1.50013E+03	 1.43514E+03
 1.50259E+03	 1.43340E+03
 1.50505E+03	 1.43516E+03
 1.50751E+03	 1.43050E+03
 1.50997E+03	 1.43276E+03
 1.51243E+03	 1.43362E+03
 1.51489E+03	 1.43254E+03
 1.51735E+03	 1.43500E+03
 1.51981E+03	 1.43224E+03
 1.52226E+03	 1.43578E+03
 1.52472E+03	 1.43684E+03
 1.52718E+03	 1.43582E+03
 1.52963E+03	 1.43390E+03
 1.53208E+03	 1.43886E+03
 1.53454E+03	 1.43766E+03
 1.53699E+03	 1.43642E+03
 1.53944E+03	 1.43810E+03
 1.54189E+03	 1.43916E+03
 1.54434E+03	 1.43398E+03
 1.54679E+03	 1.43678E+03
 1.54924E+03	 1.43564E+03
 1.55169E+03	 1.43616E+03
 1.55413E+03	 1.43846E+03
 1.55658E+03	 1.43854E+03
 1.55902E+03	 1.43830E+03
 1.56147E+03	 1.44042E+03
 1.56391E+03	 1.43676E+03
 1.56636E+03	 1.43924E+03
 1.56880E+03	 1.44018E+03
 1.57124E+03	 1.44154E+03
 1.57368E+03	 1.43760E+03
 1.57612E+03	 1.44262E+03
 1.57856E+03	 1.43852E+03
 1.58100E+03	 1.43910E+03
 1.58344E+03	 1.44024E+03
 1.58587E+03	 1.43788E+03
 1.58831E+03	 1.43762E+03
 1.59074E+03	 1.43922E+03
 1.59318E+03	 1.43910E+03
 1.59561E+03	 1.43746E+03
 1.59805E+03	 1.44044E+03
 1.60048E+03	 1.43918E+03
 1.60291E+03	 1.44022E+03
 1.60534E+03	 1.43484E+03
 1.60777E+03	 1.43780E+03
 1.61020E+03	 1.43550E+03
 1.61263E+03	 1.43562E+03
 1.61506E+03	 1.44122E+03
 1.61749E+03	 1.43834E+03
 1.61991E+03	 1.43740E+03
 1.62234E+03	 1.43868E+03
 1.62476E+03	 1.43528E+03
 1.62719E+03	 1.43946E+03
 1.62961E+03	 1.43730E+03
 1.63203E+03	 1.43852E+03
 1.63446E+03	 1.43578E+03
 1.63688E+03	 1.43866E+03
 1.63930E+03	 1.43906E+03
 1.64172E+03	 1.43896E+03
 1.64414E+03	 1.43678E+03
 1.64656E+03	 1.43924E+03
 1.64897E+03	 1.43940E+03
 1.65139E+03	 1.43798E+03
 1.65381E+03	 1.44006E+03
 1.65622E+03	 1.43922E+03
 1.65864E+03	 1.43986E+03
 1.66105E+03	 1.44038E+03
 1.66346E+03	 1.44162E+03
 1.66588E+03	 1.44176E+03
 1.66829E+03	 1.44230E+03
 1.67070E+03	 1.44408E+03
 1.67311E+03	 1.43910E+03
 1.67552E+03	 1.44064E+03
 1.67793E+03	 1.44264E+03
