Wavenumber (cm^-1),Intensity (a.u.)
2341.775355,1382.87
2343.995403,1384.13
2346.214853,1382.67
2348.433704,1385.43
2350.624908,1383.73
2352.84257,1384.57
2355.059633,1383.03
2357.249073,1384.9
2359.464948,1381.23
2361.680227,1383.5
2363.894908,1383.77
2366.081995,1383.33
2368.29549,1381.57
2370.508389,1382.87
2372.720692,1383.27
2374.905431,1383
2377.11655,1385.9
2379.327073,1381.17
2381.510055,1383.1
2383.719396,1385.17
2385.928142,1382.3
2388.136293,1382
2390.316933,1382.87
2392.523904,1384.13
2394.730281,1383.83
2396.909169,1381.77
2399.114367,1382.43
2401.318972,1382.83
2403.496109,1383.6
2405.699536,1385.37
2407.902371,1382
2410.104613,1381.2
2412.279418,1382.27
2414.480485,1378.13
2416.68096,1381.6
2418.85402,1381.03
2421.053321,1377.87
2423.252031,1383.43
2425.423348,1379.67
2427.620885,1381.53
2429.817832,1383.47
2431.987408,1383.13
2434.183183,1378.87
2436.378369,1381.47
2438.546206,1383.47
2440.740222,1380.7
2442.933649,1381.57
2445.09975,1382.63
2447.292008,1379.37
2449.483678,1381.3
2451.648044,1383.07
2453.838547,1381.5
2456.028462,1381.73
2458.191096,1383.07
2460.379845,1379.73
2462.568008,1380.03
2464.728911,1380.67
2466.915909,1383.27
2469.102322,1381.97
2471.261497,1382.07
2473.446746,1382
2475.604772,1383.17
2477.788858,1378.37
2479.972361,1383.33
2482.128661,1380.6
2484.311003,1381.07
2486.49276,1381.63
2488.647338,1384.33
2490.827936,1380.47
2492.981368,1379.97
2495.160807,1381.93
2497.339664,1382
2499.491377,1381.77
2501.669076,1382.37
2503.846193,1381.63
2505.996189,1380.6
2508.17215,1380.93
2510.321005,1383.07
2512.495811,1383.03
2514.670036,1384.57
2516.817176,1384.77
2518.990248,1380.47
2521.136249,1384.77
2523.308168,1382
2525.479507,1379.5
2527.623798,1381.57
2529.793986,1381.1
2531.937139,1384.07
2534.106177,1383.2
2536.274636,1381.57
2538.416082,1383.97
2540.583392,1379.77
2542.723704,1383
2544.889865,1384.23
2547.05545,1381.83
2549.194058,1380.23
2551.358495,1383.17
2553.495971,1381.27
2555.659263,1380.13
2557.795607,1380.5
2559.957753,1381.5
2562.119324,1382.6
2564.25397,1380.7
2566.414397,1383.07
2568.547913,1381.67
2570.707197,1380.87
2572.839585,1381.6
2574.997727,1379.8
2577.155296,1381.37
2579.285989,1382.37
2581.442417,1382.9
2583.571985,1382.57
2585.727273,1382.07
2587.855715,1382.07
2590.009865,1382
2592.137182,1380.93
2594.290195,1381.73
2596.416389,1382.13
2598.568264,1380.03
2600.719568,1379.63
2602.844075,1380.43
2604.994243,1382.47
2607.117629,1380.2
2609.266662,1380.93
2611.388928,1382
2613.536828,1383.33
2615.657974,1379.63
2617.804741,1380.73
2619.924769,1381.17
2622.070404,1381.2
2624.189314,1380.73
2626.333818,1380.6
2628.451611,1381.87
2630.594985,1380.53
2632.711662,1381.3
2634.853907,1380.57
2636.995584,1379.03
2639.110586,1382.3
2641.251135,1380.8
2643.365023,1382.8
2645.504445,1381
2647.61722,1381.47
2649.755516,1383.03
2651.867179,1382.17
2654.00435,1380.27
2656.114902,1379.03
2658.250948,1381.5
2660.36039,1379.53
2662.495313,1380.1
2664.603645,1380.87
2666.737446,1382.33
2668.84467,1383.07
2670.977349,1382.5
2673.083465,1382.07
2675.189032,1381.63
2677.320033,1381
2679.424493,1382.9
2681.554375,1380.8
2683.65773,1380.37
2685.786493,1380.4
2687.888743,1381.07
2690.016389,1381.13
2692.117536,1381.2
2694.244064,1381.3
2696.344108,1379.97
2698.469521,1382.3
2700.568463,1379.43
2702.69276,1380.8
2704.790601,1379.97
2706.913785,1383.77
2709.010525,1381.77
2711.10672,1383.7
2713.228237,1381.03
2715.323333,1380.73
2717.443738,1380.97
2719.537735,1381.4
2721.657029,1384.53
2723.74993,1380
2725.868113,1381.23
2727.959917,1380.3
2730.076992,1382
2732.1677,1381.67
2734.257865,1380.17
2736.37328,1382.47
2738.462351,1384.4
2740.576659,1383.5
2742.664636,1379.7
2744.777837,1380.43
2746.864722,1380.77
2748.951064,1379.97
2751.062612,1380.5
2753.147863,1383.27
2755.258306,1380.83
2757.342466,1385.17
2759.451806,1381.63
2761.534877,1381.97
2763.617408,1380.87
2765.725097,1379.03
2767.806539,1381.47
2769.913128,1381.03
2771.993483,1380.27
2774.073298,1382.17
2776.178239,1380.3
2778.256968,1378.6
2780.360811,1379.7
2782.438455,1380.57
2784.541199,1379.47
2786.617758,1381.57
2788.693779,1378.93
2790.794881,1381.53
2792.869819,1380.57
2794.969826,1379.87
2797.043681,1379.37
2799.116999,1381
2801.215366,1377.2
2803.287603,1382
2805.359304,1380.07
2807.456034,1379.1
2809.526654,1378.47
2811.622292,1380.17
2813.691834,1382.5
2815.76084,1379.23
2817.854843,1377.87
2819.922772,1382.7
2822.015685,1381.3
2824.082536,1380.03
2826.148853,1380.97
2828.240136,1382.17
2830.305377,1379.67
2832.370084,1380.2
2834.459738,1380.63
2836.523371,1377.7
2838.586471,1380.2
2840.674497,1379.7
2842.736524,1381.03
2844.823465,1380
2846.884419,1381.03
2848.944841,1377.43
2851.030158,1379.93
2853.089509,1377.57
2855.148329,1380.4
2857.232024,1380.83
2859.289774,1381.8
2861.346992,1379.9
2863.429067,1379.6
2865.485217,1380.5
2867.540837,1378.17
2869.621294,1379.17
2871.675846,1381.17
2873.729868,1381.2
2875.808709,1379.3
2877.861666,1379.4
2879.914093,1380.87
2881.991319,1380.03
2884.042682,1380.03
2886.093515,1381.4
2888.16913,1380.27
2890.2189,1379.3
2892.268142,1383.03
2894.342145,1376.77
2896.390325,1380.73
2898.437978,1381.47
2900.510373,1378.1
2902.556964,1381.4
2904.603029,1382.23
2906.673817,1380.23
2908.718822,1381.27
2910.7633,1381.2
2912.832483,1381.07
2914.875903,1380.77
2916.918798,1377.9
2918.961167,1379.73
2921.028215,1380.5
2923.069527,1381.6
2925.110314,1378.33
2927.175762,1379.97
2929.215493,1378.3
2931.254701,1380.77
2933.31855,1378.67
2935.356702,1379.83
2937.394332,1379
2939.431438,1378.1
2941.49316,1378.73
2943.529213,1378.6
2945.564743,1377.23
2947.624871,1379
2949.65935,1378.97
2951.693306,1379.4
2953.726741,1380.93
2955.784748,1378.17
2957.817132,1379.17
2959.848995,1378.23
2961.905412,1380.83
2963.936226,1378.4
2965.96652,1380.7
2967.996293,1377.7
2970.050595,1378.17
2972.07932,1378.4
2974.107526,1376.2
2976.135212,1375.27
2978.187402,1376.9
2980.214043,1379.6
2982.240164,1378.9
2984.265766,1376.87
2986.315847,1377.6
2988.340406,1377.63
2990.364446,1379.2
2992.387968,1378.5
2994.435944,1375.7
2996.458423,1376.27
2998.480385,1377.97
3000.50183,1377.5
3002.547703,1376.77
3004.568107,1379.27
3006.587994,1375.07
