#Wave;#Intensity
451.300781;3505.353908
449.439453;3460.538184
447.578125;3512.79585
445.716797;3481.474609
443.853516;3561.998535
441.990234;3535.170216
440.126953;3555.490383
438.263672;3585.675489
436.400391;3590.269582
434.535156;3625.817139
432.669922;3622.326369
430.804688;3635.428808
428.939453;3611.762109
427.072266;3632.48081
425.207031;3638.401417
423.339844;3618.333156
421.470703;3592.002491
419.603516;3695.108253
417.736328;3689.367773
415.867188;3668.85757
413.998047;3705.641065
412.128906;3709.745018
410.257812;3788.106056
408.388672;3785.927782
406.517578;3773.913283
404.646484;3727.034133
402.773438;3795.935255
400.902344;3778.563429
399.029297;3751.37041
397.15625;3814.413134
395.283203;3823.394533
393.410156;3812.728077
391.537109;3843.130568
389.662109;3827.108495
387.787109;3816.44717
385.912109;3836.122707
384.035156;3841.964014
382.160156;3821.496875
380.283203;3801.930031
378.40625;3853.678077
376.529297;3823.418456
374.650391;3791.835401
372.773438;3826.181202
370.894531;3862.737746
369.015625;3883.251708
367.134766;3877.051857
365.255859;3838.816065
363.375;3841.08081
361.494141;3831.780176
359.613281;3829.598143
357.732422;3915.888869
355.849609;3812.790625
353.96875;3830.610889
352.085938;3831.095898
350.201172;3837.798878
348.318359;3825.846924
346.433594;3830.771532
344.548828;3769.553662
342.664062;3781.145018
340.779297;3825.120947
338.894531;3835.363574
337.007812;3890.838574
335.121094;3850.07041
333.234375;3855.423632
331.347656;3825.760792
329.458984;3872.325489
327.570312;3818.306202
325.681641;3864.408447
323.792969;3864.4375
321.904297;3851.627294
320.013672;3804.298341
318.123047;3816.730519
316.232422;3799.514551
314.341797;3856.616162
312.449219;3889.369873
310.558594;3898.234032
308.666016;3845.209718
306.773438;3870.872509
304.878906;3937.61416
302.986328;3896.10088
301.091797;3955.298732
299.197266;3947.356396
297.302734;3953.10166
295.40625;3924.861035
293.511719;3913.840819
291.615234;3946.499169
289.71875;3858.736329
287.822266;3851.264991
285.923828;3836.743407
284.025391;3871.592333
282.126953;3818.294239
280.228516;3831.984569
278.330078;3840.823095
276.429688;3854.061572
274.529297;3852.764794
272.628906;3835.182421
270.728516;3866.455128
268.828125;3852.836572
266.925781;3877.052883
265.023438;3818.580322
263.121094;3884.5625
261.21875;3895.567333
259.314453;3929.420264
257.412109;4245.782667
255.507812;4685.004982
253.601562;4905.753808
251.697266;4437.468165
249.791016;3993.974415
247.886719;3871.950194
245.980469;3864.067676
244.072266;3885.581739
242.166016;3992.174855
240.257812;4006.633887
238.349609;4043.44541
236.441406;4057.009621
234.533203;3993.879736
232.623047;3922.891945
230.712891;3986.407373
228.802734;3956.178856
226.892578;3966.680907
224.982422;3929.903908
223.070312;3935.593116
221.158203;3963.155616
219.246094;3974.958204
217.333984;3981.944533
215.419922;3921.592773
213.507812;3928.587306
211.59375;4028.668847
209.677734;3969.656933
207.763672;3999.78838
205.847656;3996.712892
203.933594;4002.808156
202.015625;3955.204054
200.099609;4053.835009
198.183594;4010.603517
196.265625;4079.075
194.347656;4076.420607
192.429688;4016.205568
190.511719;4031.876611
188.591797;4060.616602
186.671875;4093.701171
184.751953;4046.169533
182.832031;4053.542434
180.910156;4104.025146
178.990234;4093.965722
177.068359;4268.47456
175.146484;5076.113574
173.222656;6829.294336
171.300781;8374.631153
169.376953;7409.884864
167.453125;5451.601369
165.529297;4974.811818
163.603516;4716.844727
161.679688;4427.70747
159.753906;4401.087646
157.828125;4391.417531
155.900391;4328.342333
153.974609;4385.547852
152.046875;4414.081396
150.119141;4523.313869
148.191406;4613.841845
146.261719;4574.207421
144.333984;4512.041065
142.404297;4462.90879
140.474609;4467.111866
138.542969;4424.077931
136.613281;4463.813869
134.681641;4432.061281
132.75;4377.80342
130.818359;4352.577782
128.884766;4337.319287
126.953125;4208.681642
125.019531;4163.174463
123.085938;4016.897021
121.152344;3992.211769
119.216797;3852.523143
117.28125;3671.830176
115.345703;3506.776466
113.410156;3280.439258
111.474609;3049.019189
109.537109;2763.283667
107.599609;2543.309692
105.662109;2259.541724
103.724609;1985.82771
101.785156;1742.442017
99.845703;1446.101221
